"","id","especie","ultima_modificacion","altura","circ_tronco_cm","diametro_tronco","long","lat","seccion","nombre_seccion","area_seccion","inclinacion_peligrosa"
"100",146,"Fresno europeo","28/02/2012 18:17","Muy bajo (1 - 2 mts)",14,"Chico",-68.8580854,-32.8642075023,6,"Residencial Norte",2694682.37982,0
"101",147,"Fresno europeo","28/02/2012 18:11","Muy bajo (1 - 2 mts)",7,"Chico",-68.8580028841,-32.8642039579,6,"Residencial Norte",2694682.37982,0
"102",148,"Paraiso","28/02/2012 18:10","Bajo (2 - 4 mts)",120,"Grande",-68.8579576256,-32.864202141,6,"Residencial Norte",2694682.37982,0
"103",149,"Paraiso","28/02/2012 18:08","Bajo (2 - 4 mts)",60,"Mediano",-68.8578812477,-32.8641980282,6,"Residencial Norte",2694682.37982,0
"104",150,"Jacarand","27/02/2012 17:57","Bajo (2 - 4 mts)",30,"Mediano",-68.857820378,-32.8641944866,6,"Residencial Norte",2694682.37982,0
"105",151,"Paraiso sombrilla","27/02/2012 17:55","Bajo (2 - 4 mts)",42,"Mediano",-68.857754913,-32.8641909605,6,"Residencial Norte",2694682.37982,0
"106",153,"Jacarand","27/02/2012 17:51","Medio (4 - 8 mts)",56,"Mediano",-68.8576246578,-32.8641856357,6,"Residencial Norte",2694682.37982,0
"107",154,"Braquiquito","27/02/2012 17:50","Bajo (2 - 4 mts)",50,"Mediano",-68.8575776041,-32.8641832819,6,"Residencial Norte",2694682.37982,0
"108",155,"Fresno europeo","27/02/2012 17:48","Bajo (2 - 4 mts)",24,"Mediano",-68.8575412426,-32.8641826418,6,"Residencial Norte",2694682.37982,0
"109",159,"Fresno europeo","27/02/2012 17:36","Bajo (2 - 4 mts)",20,"Chico",-68.857346078,-32.8641697479,6,"Residencial Norte",2694682.37982,0
"110",161,"Paraiso sombrilla","27/02/2012 17:32","Bajo (2 - 4 mts)",100,"Grande",-68.8571537012,-32.8641614654,6,"Residencial Norte",2694682.37982,0
"111",162,"Paraiso sombrilla","27/02/2012 17:30","Bajo (2 - 4 mts)",80,"Grande",-68.8570880942,-32.8641579352,6,"Residencial Norte",2694682.37982,0
"112",165,"Paraiso","27/02/2012 17:23","Medio (4 - 8 mts)",60,"Mediano",-68.8568438587,-32.8641461494,6,"Residencial Norte",2694682.37982,0
"114",168,"Paraiso","26/02/2012 20:01","Bajo (2 - 4 mts)",40,"Mediano",-68.8566239237,-32.8642132741,6,"Residencial Norte",2694682.37982,0
"115",170,"Paraiso","26/02/2012 19:56","Medio (4 - 8 mts)",60,"Mediano",-68.8566366649,-32.8643478911,6,"Residencial Norte",2694682.37982,0
"118",177,"Fresno europeo","26/02/2012 19:44","Bajo (2 - 4 mts)",40,"Mediano",-68.8570554083,-32.8646059999,6,"Residencial Norte",2694682.37982,0
"119",179,"Braquiquito","26/02/2012 19:40","Medio (4 - 8 mts)",54,"Mediano",-68.8571762698,-32.8646124751,6,"Residencial Norte",2694682.37982,0
"120",180,"Morera","26/02/2012 19:39","Bajo (2 - 4 mts)",44,"Mediano",-68.8572069582,-32.8646130845,6,"Residencial Norte",2694682.37982,0
"121",181,"Braquiquito","26/02/2012 19:37","Muy bajo (1 - 2 mts)",16,"Chico",-68.8572437821,-32.8646160029,6,"Residencial Norte",2694682.37982,0
"125",187,"Morera","24/02/2012 11:24","Bajo (2 - 4 mts)",48,"Mediano",-68.8576696196,-32.8646360973,6,"Residencial Norte",2694682.37982,0
"126",188,"Paraiso sombrilla","24/02/2012 11:23","Bajo (2 - 4 mts)",100,"Grande",-68.857935699,-32.8646507998,6,"Residencial Norte",2694682.37982,0
"127",189,"Prunas","24/02/2012 11:17","Bajo (2 - 4 mts)",22,"Mediano",-68.8580176954,-32.8646533329,6,"Residencial Norte",2694682.37982,0
"128",190,"Paraiso sombrilla","24/02/2012 11:14","Bajo (2 - 4 mts)",60,"Mediano",-68.8580625525,-32.8646558255,6,"Residencial Norte",2694682.37982,0
"129",193,"Tilo","24/02/2012 11:08","Bajo (2 - 4 mts)",14,"Chico",-68.8581957622,-32.8646641135,6,"Residencial Norte",2694682.37982,0
"130",194,"Acer","24/02/2012 11:06","Bajo (2 - 4 mts)",30,"Mediano",-68.858256053,-32.8646670294,6,"Residencial Norte",2694682.37982,0
"132",196,"Morera","24/02/2012 10:47","Muy bajo (1 - 2 mts)",22,"Mediano",-68.8583293667,-32.8646707742,6,"Residencial Norte",2694682.37982,0
"133",198,"Fresno europeo","24/02/2012 10:43","Bajo (2 - 4 mts)",20,"Chico",-68.8584029873,-32.8645344121,6,"Residencial Norte",2694682.37982,0
"134",199,"Fresno americano","24/02/2012 10:41","Bajo (2 - 4 mts)",28,"Mediano",-68.8584021085,-32.8644803013,6,"Residencial Norte",2694682.37982,0
"136",204,"Morera","06/03/2012 10:26","Alto (> 8 mts)",130,"Grande",-68.8393721078,-32.8705776557,4,"Cuarta Oeste",1173332.70145,1
"138",208,"Olmo bola","06/03/2012 10:17","Medio (4 - 8 mts)",65,"Grande",-68.8393090184,-32.8703372173,4,"Cuarta Oeste",1173332.70145,0
"139",211,"Fresno americano","06/03/2012 10:13","Medio (4 - 8 mts)",40,"Mediano",-68.8392752324,-32.8702071153,4,"Cuarta Oeste",1173332.70145,1
"141",215,"Pltano","06/03/2012 10:03","Alto (> 8 mts)",200,"Grande",-68.8389727497,-32.8699815525,4,"Cuarta Oeste",1173332.70145,0
"143",217,"Fresno europeo","06/03/2012 10:00","Bajo (2 - 4 mts)",18,"Chico",-68.8388182088,-32.8699721589,4,"Cuarta Oeste",1173332.70145,0
"144",218,"Pltano","06/03/2012 09:58","Alto (> 8 mts)",170,"Grande",-68.8387341999,-32.8699698865,4,"Cuarta Oeste",1173332.70145,1
"145",219,"Pltano","06/03/2012 09:56","Alto (> 8 mts)",180,"Grande",-68.8386777703,-32.8699654865,4,"Cuarta Oeste",1173332.70145,0
"146",220,"Fresno americano","06/03/2012 09:55","Medio (4 - 8 mts)",105,"Grande",-68.8386264688,-32.8699632581,4,"Cuarta Oeste",1173332.70145,0
"147",222,"Fresno europeo","06/03/2012 09:49","Alto (> 8 mts)",125,"Grande",-68.8384548507,-32.8699559989,4,"Cuarta Oeste",1173332.70145,0
"148",223,"Fresno europeo","06/03/2012 09:48","Muy bajo (1 - 2 mts)",16,"Chico",-68.8383855905,-32.8699559094,4,"Cuarta Oeste",1173332.70145,0
"150",226,"Fresno americano","06/03/2012 09:44","Medio (4 - 8 mts)",118,"Grande",-68.8380796956,-32.8699463184,4,"Cuarta Oeste",1173332.70145,0
"151",228,"Pltano","06/03/2012 09:41","Alto (> 8 mts)",180,"Grande",-68.8380639089,-32.8700831815,4,"Cuarta Oeste",1173332.70145,0
"152",230,"Morera","06/03/2012 09:39","Medio (4 - 8 mts)",120,"Grande",-68.8380983294,-32.8702159238,4,"Cuarta Oeste",1173332.70145,1
"153",231,"Jacarand","06/03/2012 09:36","Bajo (2 - 4 mts)",25,"Mediano",-68.8381161635,-32.8702836173,4,"Cuarta Oeste",1173332.70145,1
"155",233,"Morera","06/03/2012 09:34","Medio (4 - 8 mts)",70,"Grande",-68.838138476,-32.8703616535,4,"Cuarta Oeste",1173332.70145,1
"157",235,"Pltano","06/03/2012 09:31","Alto (> 8 mts)",170,"Grande",-68.8381639122,-32.8704812818,4,"Cuarta Oeste",1173332.70145,0
"159",239,"Olmo bola","06/03/2012 09:26","Medio (4 - 8 mts)",110,"Grande",-68.8385301422,-32.8705570438,4,"Cuarta Oeste",1173332.70145,0
"160",240,"Pltano","06/03/2012 09:22","Alto (> 8 mts)",190,"Grande",-68.8385866556,-32.8705625296,4,"Cuarta Oeste",1173332.70145,0
"161",242,"Pltano","06/03/2012 09:20","Alto (> 8 mts)",138,"Grande",-68.8387310619,-32.8705730005,4,"Cuarta Oeste",1173332.70145,0
"162",245,"Pltano","06/03/2012 09:16","Alto (> 8 mts)",165,"Grande",-68.8389966337,-32.8705933864,4,"Cuarta Oeste",1173332.70145,0
"163",246,"Pltano","06/03/2012 09:15","Alto (> 8 mts)",168,"Grande",-68.8390639607,-32.8706005035,4,"Cuarta Oeste",1173332.70145,0
"164",247,"Pltano","06/03/2012 09:13","Alto (> 8 mts)",160,"Grande",-68.8391601435,-32.8706087407,4,"Cuarta Oeste",1173332.70145,0
"165",248,"Olmo bola","06/03/2012 09:11","Medio (4 - 8 mts)",90,"Grande",-68.8393277792,-32.8706203274,4,"Cuarta Oeste",1173332.70145,0
"166",250,"Morera","07/03/2012 11:57","Muy bajo (1 - 2 mts)",4,"Chico",-68.8223482065,-32.8669830912,4,"Cuarta Este Área Fundacional",1822015.85685,0
"167",252,"Morera","07/03/2012 11:53","Muy bajo (1 - 2 mts)",4,"Chico",-68.822199023,-32.8669862615,4,"Cuarta Este Área Fundacional",1822015.85685,0
"168",253,"Paraiso sombrilla","07/03/2012 11:49","Medio (4 - 8 mts)",150,"Grande",-68.8221276323,-32.8669915711,4,"Cuarta Este Área Fundacional",1822015.85685,0
"170",260,"Fresno europeo","07/03/2012 11:38","Medio (4 - 8 mts)",130,"Grande",-68.8220845592,-32.8668629328,4,"Cuarta Este Área Fundacional",1822015.85685,0
"171",262,"Fresno europeo","07/03/2012 11:35","Medio (4 - 8 mts)",140,"Grande",-68.822237089,-32.8667900952,4,"Cuarta Este Área Fundacional",1822015.85685,0
"172",263,"Fresno europeo","07/03/2012 11:34","Bajo (2 - 4 mts)",14,"Chico",-68.8223245902,-32.8667496333,4,"Cuarta Este Área Fundacional",1822015.85685,0
"173",265,"Olmo bola","07/03/2012 11:12","Medio (4 - 8 mts)",100,"Grande",-68.8224916781,-32.8667139353,4,"Cuarta Este Área Fundacional",1822015.85685,0
"174",266,"Morera","07/03/2012 11:10","Medio (4 - 8 mts)",104,"Grande",-68.8225027702,-32.8667822706,4,"Cuarta Este Área Fundacional",1822015.85685,0
"175",268,"Paraiso sombrilla","07/03/2012 11:07","Medio (4 - 8 mts)",150,"Grande",-68.8225191763,-32.8669136618,4,"Cuarta Este Área Fundacional",1822015.85685,0
"176",269,"Morera","07/03/2012 09:11","Medio (4 - 8 mts)",150,"Grande",-68.821427173,-32.8672087923,4,"Cuarta Este Área Fundacional",1822015.85685,0
"177",272,"Morera","07/03/2012 09:07","Alto (> 8 mts)",135,"Grande",-68.8214511411,-32.8673961887,4,"Cuarta Este Área Fundacional",1822015.85685,1
"178",277,"Morera","07/03/2012 08:53","Alto (> 8 mts)",180,"Grande",-68.8214768818,-32.8676252287,4,"Cuarta Este Área Fundacional",1822015.85685,0
"179",278,"Morera","07/03/2012 08:51","Alto (> 8 mts)",160,"Grande",-68.8214852233,-32.8676646961,4,"Cuarta Este Área Fundacional",1822015.85685,0
"180",281,"Morera","07/03/2012 08:47","Alto (> 8 mts)",160,"Grande",-68.8215808436,-32.8677849418,4,"Cuarta Este Área Fundacional",1822015.85685,0
"181",282,"Morera","07/03/2012 08:43","Alto (> 8 mts)",90,"Grande",-68.8216323085,-32.8677826482,4,"Cuarta Este Área Fundacional",1822015.85685,0
"182",283,"Morera","07/03/2012 08:42","Alto (> 8 mts)",180,"Grande",-68.8217530143,-32.8677780855,4,"Cuarta Este Área Fundacional",1822015.85685,1
"183",284,"Morera","06/03/2012 10:47","Alto (> 8 mts)",110,"Grande",-68.8218138388,-32.8677742263,4,"Cuarta Este Área Fundacional",1822015.85685,0
"184",288,"Paraiso","06/03/2012 10:42","Bajo (2 - 4 mts)",30,"Mediano",-68.8220327918,-32.8677674362,4,"Cuarta Este Área Fundacional",1822015.85685,0
"186",292,"Morera","06/03/2012 10:37","Alto (> 8 mts)",160,"Grande",-68.8223463635,-32.8677552293,4,"Cuarta Este Área Fundacional",1822015.85685,0
"188",294,"Morera","05/03/2012 13:34","Alto (> 8 mts)",170,"Grande",-68.8225719873,-32.8677460403,4,"Cuarta Este Área Fundacional",1822015.85685,0
"189",295,"Fresno europeo","05/03/2012 13:33","Bajo (2 - 4 mts)",120,"Grande",-68.8226190791,-32.8676765909,4,"Cuarta Este Área Fundacional",1822015.85685,1
"190",296,"Fresno europeo","05/03/2012 13:32","Bajo (2 - 4 mts)",100,"Grande",-68.8226135503,-32.8676339708,4,"Cuarta Este Área Fundacional",1822015.85685,0
"191",297,"Fresno europeo","05/03/2012 13:30","Medio (4 - 8 mts)",140,"Grande",-68.8226052434,-32.8675699189,4,"Cuarta Este Área Fundacional",1822015.85685,0
"193",299,"Paraiso sombrilla","05/03/2012 13:26","Bajo (2 - 4 mts)",30,"Mediano",-68.8225905469,-32.8674061891,4,"Cuarta Este Área Fundacional",1822015.85685,0
"198",313,"Fresno europeo","05/03/2012 12:52","Medio (4 - 8 mts)",35,"Mediano",-68.8218158077,-32.8671278738,4,"Cuarta Este Área Fundacional",1822015.85685,0
"200",317,"lamo criollo","05/03/2012 12:41","Alto (> 8 mts)",280,"Grande",-68.8215088145,-32.8671385045,4,"Cuarta Este Área Fundacional",1822015.85685,0
"201",320,"Morera","07/03/2012 11:02","Medio (4 - 8 mts)",150,"Grande",-68.8201615859,-32.867324059,4,"Cuarta Este Área Fundacional",1822015.85685,0
"202",321,"Morera","07/03/2012 11:00","Medio (4 - 8 mts)",100,"Grande",-68.8201676123,-32.8673816309,4,"Cuarta Este Área Fundacional",1822015.85685,0
"203",322,"Morera","07/03/2012 10:40","Medio (4 - 8 mts)",150,"Grande",-68.8201777076,-32.8674740195,4,"Cuarta Este Área Fundacional",1822015.85685,0
"204",324,"Morera","07/03/2012 10:36","Medio (4 - 8 mts)",140,"Grande",-68.8202026342,-32.867659569,4,"Cuarta Este Área Fundacional",1822015.85685,0
"205",325,"Morera","07/03/2012 10:35","Medio (4 - 8 mts)",140,"Grande",-68.8202073796,-32.8677022954,4,"Cuarta Este Área Fundacional",1822015.85685,0
"206",326,"Paraiso sombrilla","07/03/2012 10:33","Medio (4 - 8 mts)",64,"Grande",-68.8202140935,-32.8677569901,4,"Cuarta Este Área Fundacional",1822015.85685,0
"207",327,"Fresno europeo","07/03/2012 10:32","Muy bajo (1 - 2 mts)",5,"Chico",-68.8203178588,-32.8678154382,4,"Cuarta Este Área Fundacional",1822015.85685,0
